NIST_index,NIST_index,du_index,noor_index,Enzyme:,KEGG Reaction:,CID Reaction:,EC Value:,Reaction:,Reference:,Reference ID:,T [K],pH,Keq,Ionic strength [molal],Experimental conditions,solutes [molal],Buffer:,Ionic strength [mol/dm^3],-log[Mg+2],Km',Enthalpy [kJ/mol],Method:,solutes [mol/dm^3]
27,27, , , phosphoglycerate mutase, , ,5.4.2.1, 2-phospho-D-glycerate(aq) = 3-phospho-D-glycerate(aq),Meyerhof O.; Kiessling W.; Biochem. Z.; 276 239 (1935).,35MEY/KIE_1385,301.15, , , , , , , , , , , polarimetry, 
28,28, , , phosphoglycerate mutase, , ,5.4.2.1, 2-phospho-D-glycerate(aq) = 3-phospho-D-glycerate(aq),Meyerhof O.; Kiessling W.; Biochem. Z.; 276 239 (1935).,35MEY/KIE_1385,311.15, , , , , , , , , , , polarimetry, 
29,29, , , phosphoglycerate mutase, , ,5.4.2.1, 2-phospho-D-glycerate(aq) = 3-phospho-D-glycerate(aq),Meyerhof O.; Kiessling W.; Biochem. Z.; 276 239 (1935).,35MEY/KIE_1385,333.15, , , , , , , , , , , polarimetry, 
30,30, , , phosphoglycerate mutase, , ,5.4.2.1, 2-phospho-D-glycerate(aq) = 3-phospho-D-glycerate(aq),Meyerhof O.; Kiessling W.; Biochem. Z.; 280 99 (1935).,35MEY/KIE2_1386,301.15, , , , , , , , , , , polarimetry, 
31,31, , , fructose-biphosphate aldolase and triose-phosphate isomerase, , ,4.1.2.13 & 4.1.2.13," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 275 430 (1935).,35MEY/LOH_1102,293.15, , , , , , phosphate, , , ,58, calorimetry, 
32,32, , , fructose-biphosphate aldolase and triose-phosphate isomerase, , ,4.1.2.13 & 4.1.2.13," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 275 430 (1935).,35MEY/LOH_1102,313.15, , , , , , phosphate, , , ,64, calorimetry, 
33,33, , , triose-phosphate isomerase and fructose-bisphosphate aldolase, , ,5.3.1.1 & 5.3.1.1," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 275 430 (1935).,35MEY/LOH_1290,293.15, , , , , , phosphate, , , ,58, calorimetry, 
34,34, , , triose-phosphate isomerase and fructose-bisphosphate aldolase, , ,5.3.1.1 & 5.3.1.1," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Lohmann K.; Biochem. Z.; 275 430 (1935).,35MEY/LOH_1290,313.15, , , , , , phosphate, , , ,64, calorimetry, 
35,35, , , alkaline phosphatase, , ,3.1.3.1, phospho-L-arginine(aq) + H2O(l) = L-arginine(aq) + orthophosphate(aq),Meyerhof O.; Schulz W.; Biochem. Z.; 281 292 (1935).,35MEY/SCH_797,293.15, , , , , , phosphate, , , ,-31.0, calorimetry, 
36,36, , , alkaline phosphatase, , ,3.1.3.1, phosphocreatine(aq) + H2O(l) = creatine(aq) + orthophosphate(aq),Meyerhof O.; Schulz W.; Biochem. Z.; 281 292 (1935).,35MEY/SCH_798,293.15, , , , , , phosphate, , , ,-44.8, calorimetry, 
37,37, , , alkaline phosphatase, , ,3.1.3.1, (R)-3-phosphoglycerate(aq) + H2O(l) = (R)-glycerate(aq) + orthophosphate(aq),Meyerhof O.; Schulz W.; Biochem. Z.; 281 292 (1935).,35MEY/SCH_802,293.15, , , , , , phosphate, , , ,-34.5, calorimetry, 
38,38, , , alkaline phosphatase, , ,3.1.3.1, phosphoenolpyruvate(aq) + H2O(l) = pyruvate(aq) + orthophosphate(aq),Meyerhof O.; Schulz W.; Biochem. Z.; 281 292 (1935).,35MEY/SCH_805,293.15, , , , , , phosphate, , , ,-35.4, calorimetry, 
39,39, , , fructose-biphosphate aldolase and triose-phosphate isomerase, , ,4.1.2.13 & 4.1.2.13," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,273.15,7,0.00014, ,   +  MgCl2, , , , , , , spectrophotometry, 
40,40, , , fructose-biphosphate aldolase and triose-phosphate isomerase, , ,4.1.2.13 & 4.1.2.13," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,273.15,7,0.000071, ,   +  MgCl2, , , , , , , spectrophotometry, 
41,41, , , fructose-biphosphate aldolase and triose-phosphate isomerase, , ,4.1.2.13 & 4.1.2.13," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,273.15,7,0.00032, ,   +  none, , , , , , , spectrophotometry, 
42,42, , , fructose-biphosphate aldolase and triose-phosphate isomerase, , ,4.1.2.13 & 4.1.2.13," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,293.15,7,0.0014, ,   +  MgCl2, , , , , , , spectrophotometry, 
43,43, , , fructose-biphosphate aldolase and triose-phosphate isomerase, , ,4.1.2.13 & 4.1.2.13," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,293.15,7,0.0011, ,   +  MgCl2, , , , , , , spectrophotometry, 
44,44, , , fructose-biphosphate aldolase and triose-phosphate isomerase, , ,4.1.2.13 & 4.1.2.13," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,293.15,7,0.00064, ,   +  MgCl2, , , , , , , spectrophotometry, 
45,45, , , fructose-biphosphate aldolase and triose-phosphate isomerase, , ,4.1.2.13 & 4.1.2.13," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,293.15,7,0.00051, ,   +  MgCl2, , , , , , , spectrophotometry, 
46,46, , , fructose-biphosphate aldolase and triose-phosphate isomerase, , ,4.1.2.13 & 4.1.2.13," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,293.15,7,0.00031, ,   +  MgCl2, , , , , , , spectrophotometry, 
47,47, , , fructose-biphosphate aldolase and triose-phosphate isomerase, , ,4.1.2.13 & 4.1.2.13," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,293.15,7,0.00035, ,   +  MgCl2, , , , , , , spectrophotometry, 
48,48, , , fructose-biphosphate aldolase and triose-phosphate isomerase, , ,4.1.2.13 & 4.1.2.13," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,293.15,7,0.00037, ,   +  MgCl2, , , , , , , spectrophotometry, 
49,49, , , fructose-biphosphate aldolase and triose-phosphate isomerase, , ,4.1.2.13 & 4.1.2.13," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,293.15,7,0.00029, ,   +  MgCl2, , , , , , , spectrophotometry, 
50,50, , , fructose-biphosphate aldolase and triose-phosphate isomerase, , ,4.1.2.13 & 4.1.2.13," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,293.15,7,0.00035, ,   +  MgCl2, , , , , , , spectrophotometry, 
51,51, , , fructose-biphosphate aldolase and triose-phosphate isomerase, , ,4.1.2.13 & 4.1.2.13," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,293.15,7,0.00035, ,   +  MgCl2, , , , , , , spectrophotometry, 
52,52, , , fructose-biphosphate aldolase and triose-phosphate isomerase, , ,4.1.2.13 & 4.1.2.13," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,293.15,7,0.00055, ,   +  Na2SO4, , , , , , , spectrophotometry, 
53,53, , , fructose-biphosphate aldolase and triose-phosphate isomerase, , ,4.1.2.13 & 4.1.2.13," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,293.15,7,0.0011, ,   +  NaCl, , , , , , , spectrophotometry, 
54,54, , , fructose-biphosphate aldolase and triose-phosphate isomerase, , ,4.1.2.13 & 4.1.2.13," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,293.15,7,0.00075, ,   +  NaCl, , , , , , , spectrophotometry, 
55,55, , , fructose-biphosphate aldolase and triose-phosphate isomerase, , ,4.1.2.13 & 4.1.2.13," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,293.15,7,0.00047, ,   +  NaCl, , , , , , , spectrophotometry, 
56,56, , , fructose-biphosphate aldolase and triose-phosphate isomerase, , ,4.1.2.13 & 4.1.2.13," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,293.15,7,0.0015, ,   +  none, , , , , , , spectrophotometry, 
57,57, , , fructose-biphosphate aldolase and triose-phosphate isomerase, , ,4.1.2.13 & 4.1.2.13," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,313.15,7,0.0056, ,   +  MgCl2, , , , , , , spectrophotometry, 
58,58, , , fructose-biphosphate aldolase and triose-phosphate isomerase, , ,4.1.2.13 & 4.1.2.13," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,313.15,7,0.0025, ,   +  MgCl2, , , , , , , spectrophotometry, 
59,59, , , fructose-biphosphate aldolase and triose-phosphate isomerase, , ,4.1.2.13 & 4.1.2.13," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,313.15,7,0.0020, ,   +  MgCl2, , , , , , , spectrophotometry, 
60,60, , , fructose-biphosphate aldolase and triose-phosphate isomerase, , ,4.1.2.13 & 4.1.2.13," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,313.15,7,0.0014, ,   +  MgCl2, , , , , , , spectrophotometry, 
61,61, , , fructose-biphosphate aldolase and triose-phosphate isomerase, , ,4.1.2.13 & 4.1.2.13," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,313.15,7,0.0064, ,   +  none, , , , , , , spectrophotometry, 
62,62, , , fructose-biphosphate aldolase and triose-phosphate isomerase, , ,4.1.2.13 & 4.1.2.13," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,333.15,7,0.015, ,   +  MgCl2, , , , , , , spectrophotometry, 
63,63, , , fructose-biphosphate aldolase and triose-phosphate isomerase, , ,4.1.2.13 & 4.1.2.13," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,333.15,7,0.0082, ,   +  MgCl2, , , , , , , spectrophotometry, 
64,64, , , fructose-biphosphate aldolase and triose-phosphate isomerase, , ,4.1.2.13 & 4.1.2.13," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,333.15,7,0.0056, ,   +  MgCl2, , , , , , , spectrophotometry, 
65,65, , , fructose-biphosphate aldolase and triose-phosphate isomerase, , ,4.1.2.13 & 4.1.2.13," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,333.15,7,0.0046, ,   +  MgCl2, , , , , , , spectrophotometry, 
66,66, , , fructose-biphosphate aldolase and triose-phosphate isomerase, , ,4.1.2.13 & 4.1.2.13," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,333.15,7,0.0012, ,   +  MgCl2, , , , , , , spectrophotometry, 
67,67, , , fructose-biphosphate aldolase and triose-phosphate isomerase, , ,4.1.2.13 & 4.1.2.13," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1101,333.15,7,0.019, ,   +  none, , , , , , , spectrophotometry, 
68,68, , , triose-phosphate isomerase and fructose-bisphosphate aldolase, , ,5.3.1.1 & 5.3.1.1," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1289,273.15,7,0.00014, ,   +  MgCl2, , , , , , , spectrophotometry, 
69,69, , , triose-phosphate isomerase and fructose-bisphosphate aldolase, , ,5.3.1.1 & 5.3.1.1," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1289,273.15,7,0.000071, ,   +  MgCl2, , , , , , , spectrophotometry, 
70,70, , , triose-phosphate isomerase and fructose-bisphosphate aldolase, , ,5.3.1.1 & 5.3.1.1," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1289,273.15,7,0.00032, ,   +  none, , , , , , , spectrophotometry, 
71,71, , , triose-phosphate isomerase and fructose-bisphosphate aldolase, , ,5.3.1.1 & 5.3.1.1," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1289,293.15,7,0.0014, ,   +  MgCl2, , , , , , , spectrophotometry, 
72,72, , , triose-phosphate isomerase and fructose-bisphosphate aldolase, , ,5.3.1.1 & 5.3.1.1," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1289,293.15,7,0.0011, ,   +  MgCl2, , , , , , , spectrophotometry, 
73,73, , , triose-phosphate isomerase and fructose-bisphosphate aldolase, , ,5.3.1.1 & 5.3.1.1," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1289,293.15,7,0.00064, ,   +  MgCl2, , , , , , , spectrophotometry, 
74,74, , , triose-phosphate isomerase and fructose-bisphosphate aldolase, , ,5.3.1.1 & 5.3.1.1," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1289,293.15,7,0.00051, ,   +  MgCl2, , , , , , , spectrophotometry, 
75,75, , , triose-phosphate isomerase and fructose-bisphosphate aldolase, , ,5.3.1.1 & 5.3.1.1," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1289,293.15,7,0.00031, ,   +  MgCl2, , , , , , , spectrophotometry, 
76,76, , , triose-phosphate isomerase and fructose-bisphosphate aldolase, , ,5.3.1.1 & 5.3.1.1," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1289,293.15,7,0.00035, ,   +  MgCl2, , , , , , , spectrophotometry, 
77,77, , , triose-phosphate isomerase and fructose-bisphosphate aldolase, , ,5.3.1.1 & 5.3.1.1," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1289,293.15,7,0.00037, ,   +  MgCl2, , , , , , , spectrophotometry, 
78,78, , , triose-phosphate isomerase and fructose-bisphosphate aldolase, , ,5.3.1.1 & 5.3.1.1," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1289,293.15,7,0.00029, ,   +  MgCl2, , , , , , , spectrophotometry, 
79,79, , , triose-phosphate isomerase and fructose-bisphosphate aldolase, , ,5.3.1.1 & 5.3.1.1," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1289,293.15,7,0.00035, ,   +  MgCl2, , , , , , , spectrophotometry, 
80,80, , , triose-phosphate isomerase and fructose-bisphosphate aldolase, , ,5.3.1.1 & 5.3.1.1," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1289,293.15,7,0.00035, ,   +  MgCl2, , , , , , , spectrophotometry, 
81,81, , , triose-phosphate isomerase and fructose-bisphosphate aldolase, , ,5.3.1.1 & 5.3.1.1," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1289,293.15,7,0.00055, ,   +  Na2SO4, , , , , , , spectrophotometry, 
82,82, , , triose-phosphate isomerase and fructose-bisphosphate aldolase, , ,5.3.1.1 & 5.3.1.1," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1289,293.15,7,0.0011, ,   +  NaCl, , , , , , , spectrophotometry, 
83,83, , , triose-phosphate isomerase and fructose-bisphosphate aldolase, , ,5.3.1.1 & 5.3.1.1," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1289,293.15,7,0.00075, ,   +  NaCl, , , , , , , spectrophotometry, 
84,84, , , triose-phosphate isomerase and fructose-bisphosphate aldolase, , ,5.3.1.1 & 5.3.1.1," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1289,293.15,7,0.00047, ,   +  NaCl, , , , , , , spectrophotometry, 
85,85, , , triose-phosphate isomerase and fructose-bisphosphate aldolase, , ,5.3.1.1 & 5.3.1.1," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1289,293.15,7,0.0015, ,   +  none, , , , , , , spectrophotometry, 
86,86, , , triose-phosphate isomerase and fructose-bisphosphate aldolase, , ,5.3.1.1 & 5.3.1.1," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Meyerhof O.; Biochem. Z.; 277 77 (1935).,35MEY_1289,313.15,7,0.0056, ,   +  MgCl2, , , , , , , spectrophotometry, 
